Movie Name,Storyline,story_length,word_count,char_length,clean_story
Front Row,Ballerina Alexis and soldier Oleksandr who lost legs form friendship. Oleksandr learns ballet with prosthetics. They rehearse with Ukrainian ballet company for performance blurring line between audience and war.,211,29,211,ballerina alexis soldier oleksandr lost legs form friendship oleksandr learns ballet prosthetics rehearse ukrainian ballet company performance blurring line audience war
Reapers,"Follows Zion, a resurrected soul collector, on a mission to save his wife. With ghouls, demons, and deadly deals with Death, he must stop a powerful briefcase from falling into the wrong hands in this thrilling sci-fi action saga.",230,39,230,follows zion resurrected soul collector mission save wife ghouls demons deadly deals death must stop powerful briefcase falling wrong hands thrilling scifi action saga
Janis Ian: Breaking Silence,"Janis Ian (""At Seventeen,"" ""Society's Child,"" ""Stars"") tells her remarkable life story-with Joan Baez, Arlo Guthrie, Jean Smart, and others.",140,20,140,janis ian seventeen societys child stars tells remarkable life storywith joan baez arlo guthrie jean smart others
My First Year Off Campus,Two college girls are tormented by their Hitchcock loving landlord.,67,10,67,two college girls tormented hitchcock loving landlord
Bahumukham,"Tanveer, an aspiring actor, moves to the city after leaving a detention center. He meets Disha, his therapist, for mandatory counseling but hides dark secrets, posing a threat.",176,28,176,tanveer aspiring actor moves city leaving detention center meets disha therapist mandatory counseling hides dark secrets posing threat
Bruce Springsteen's Nebraska: A Celebration in Words and Music,"Warren Zanes offers the words from his book, 'Deliver me from nowhere', and this fine cast of stellar musicians perform songs from Nebraska in an intimate setting.",163,27,163,warren zanes offers words book deliver nowhere fine cast stellar musicians perform songs nebraska intimate setting
The Bouncer,"In Romania, fugitive Frank Sharp takes a job as a bouncer. Saving a woman from abuse, he discovers she's trafficked. They escape together but are relentlessly hunted.",166,27,166,romania fugitive frank sharp takes job bouncer saving woman abuse discovers shes trafficked escape together relentlessly hunted
Sandman,"Did you ever fall asleep watching television in the living room as a child? You wake up and you were alone. You then had a long terrifying journey back to your bedroom. Going room to room, turning lights on and off as you go as to not be consumed by the dark. Hearing noises, seeing shadows. It's only your imagination... right? What if it wasn't? What if there truly is something terrifying, lurking in the dark, waiting to come and get you.",442,82,442,ever fall asleep watching television living room child wake alone long terrifying journey back bedroom going room room turning lights go consumed dark hearing noises seeing shadows imagination right wasnt truly something terrifying lurking dark waiting come get
Sadik Ahmet,"Adapted from a true story, this film is about the Dr. Sadik Ahmet, who fought for the democratic rights of Muslim Turks in Western Thrace for many years.",153,28,153,adapted true story film dr sadik ahmet fought democratic rights muslim turks western thrace many years
Life After the NeverEnding Story,"A documentary celebrating The NeverEnding Story (1984) via cast and crew interviews, whilst exploring the lives of stars Noah Hathaway and Tami Stronach since those breakthrough roles.",184,27,184,documentary celebrating neverending story via cast crew interviews whilst exploring lives stars noah hathaway tami stronach since breakthrough roles
Land of Happiness,"In 1979 South Korea, a lawyer defends a secretary involved in the president's assassination, battling against predetermined military justice to ensure a fair trial amidst the nation's turmoil.",192,28,192,south korea lawyer defends secretary involved presidents assassination battling predetermined military justice ensure fair trial amidst nations turmoil
The Prodigy,"Street hustler Adam has just about given up on life. When he finds himself held captive at the mercy of a deranged psychopath, he must decide whether to give up - or fight like hell to keep on living.",200,39,200,street hustler adam given life finds held captive mercy deranged psychopath must decide whether give fight like hell keep living
